Company Name,Ticker,Location,Location Type,Sales,SIC,URL,Phone Number,Description
ON SEMICONDUCTOR CORPORATION,ON,ARIZONA(USA),Headquarters,"$8,253,000,000",36740200,WWW.ONSEMI.COM,(602) 244-6600,"Founded in 1999 as a spin-off from Motorola's Semiconductor Components Group. Headquartered at 5701 N Pima Road, Scottsdale, Arizona, the company specializes in intelligent power and sensing solutions for automotive and industrial applications."
MICROCHIP TECHNOLOGY INC,MCHP,ARIZONA(USA),Headquarters,"$7,634,400,000",36740000,WWW.MICROCHIP.COM,(480) 792-7200,"Established in 1989 and is based in Chandler, Arizona. The company designs and manufactures microcontrollers, analog semiconductors, and Flash-IP integrated circuits. While it previously operated fabrication facilities in Arizona, these have been closed, and manufacturing has shifted to other locations."
"AMKOR TECHNOLOGY, INC.",AMKR,ARIZONA(USA),Headquarters,"$6,503,065,000",36740000,WWW.AMKOR.COM,(480) 821-5000,"Founded in 1968 and moved its headquarters to Tempe, Arizona, in 2005. The company provides semiconductor packaging and test services. In 2023, Amkor announced plans to build a $2 billion advanced semiconductor packaging facility in Peoria, Arizona, to support the growing demand in the semiconductor industry. "
"FIRST SOLAR, INC.",FSLR,ARIZONA(USA),Headquarters,"$3,318,602,000",36740306,WWW.FIRSTSOLAR.COM,(602) 414-9300,"Established in 1999 and is headquartered at 350 W Washington Street, Suite 600, Tempe, Arizona. The company manufactures solar panels and provides utility-scale PV power plants, focusing on sustainable energy solutions."
"BENCHMARK ELECTRONICS, INC.",BHE,ARIZONA(USA),Headquarters,"$2,838,976,000",36720000,WWW.BENCH.COM,(623) 300-7000,"founded in 1979 and has its headquarters in Tempe, Arizona. The company offers electronics manufacturing services, including design, engineering, and assembly for various industries such as aerospace, defense, and medical devices."
"SEMICONDUCTOR COMPONENTS INDUSTRIES, LLC",,ARIZONA(USA),Headquarters,"$1,136,114,035",36740000,WWW.ONSEMI.COM,(602) 244-6600,"established on April 28, 1999, and is located at 5701 N Pima Road, Scottsdale, Arizona. It operates as a subsidiary of ON Semiconductor, focusing on the design and manufacture of semiconductor components."
"BENCHMARK ELECTRONICS PHOENIX, INC.",,ARIZONA(USA),Headquarters,"$433,322,347",36720000,WWW.BENCH.COM,(623) 300-7000,"is a subsidiary of Benchmark Electronics, Inc., operating in Tempe, Arizona. It provides specialized electronics manufacturing services, supporting the company's broader operations in the region."
SUMCO PHOENIX CORPORATION,,ARIZONA(USA),Headquarters,"$107,505,419",36740000,WWW.SUMCOUSA.COM,(480) 473-6000,"was incorporated in 1989 and is located at 19801 N Tatum Boulevard, Phoenix, Arizona. The company produces high-purity silicon wafers for the semiconductor industry, utilizing advanced manufacturing processes to meet industry standards."
TSMC ARIZONA CORPORATION,,ARIZONA(USA),Single Location,"$106,516,420",36740000,https://www.tsmc.com/static/abouttsmcaz/index.htm,(602) 567-1688,"is a subsidiary of Taiwan Semiconductor Manufacturing Company, founded in 1987. In 2020, TSMC announced plans to build its first U.S. semiconductor manufacturing facility in Phoenix, Arizona, with an investment exceeding $65 billion.The facility aims to produce advanced 5-nanometer chips, contributing significantly to the U.S. semiconductor supply chain."
"INTEGRATED CABLE ASSEMBLY HOLDINGS, INC.",,ARIZONA(USA),Headquarters,"$88,669,832",36799905,WWW.ICAHOLDINGS.COM,(520) 290-9987,"Founded in 2012, Integrated Cable Assembly Holdings, Inc. (ICA) is headquartered in Tucson, Arizona. The company specializes in manufacturing specialty wire harnesses, cable assemblies, and electromechanical assemblies. In September 2022, ICA was acquired by Amphenol Corporation, enhancing its capabilities in providing diversified manufacturing solutions across various industries."
"DUCOMMUN LABARGE TECHNOLOGIES, INC.",,ARIZONA(USA),Headquarters,"$72,858,391",36799905,,(480) 998-0733,"Established in 1849, Ducommun LaBarge Technologies, Inc. operates in Arizona as a provider of innovative manufacturing solutions for aerospace, defense, and industrial markets. The company's Arizona facility focuses on producing complex electronic systems and structural components, supporting mission-critical programs and applications."
"EVERSPIN TECHNOLOGIES, INC.",MRAM,ARIZONA(USA),Headquarters,"$63,765,000",36740203,WWW.EVERSPIN.COM,(480) 347-1111,"Founded in 2008 and headquartered in Chandler, Arizona, Everspin Technologies, Inc. is a leading developer and manufacturer of Magnetoresistive Random Access Memory (MRAM) products. The company offers discrete and embedded MRAM solutions, including Toggle MRAM and Spin-Transfer Torque MRAM (STT-MRAM), catering to applications requiring data persistence and integrity."
"AGC MULTI MATERIAL AMERICA, INC.",,ARIZONA(USA),Headquarters,"$48,404,625",36790100,WWW.AGC-MULTIMATERIAL.COM,(480) 967-5600,"AGC Multi Material America, Inc. (AMMA), a subsidiary of AGC Inc., operates in Tempe, Arizona. The facility specializes in manufacturing RF and digital printed circuit board materials and houses a Product Development Center, contributing to advancements in high-speed communication technologies."
"ARTESYN EMBEDDED TECHNOLOGIES, INC.",,ARIZONA(USA),Headquarters,"$39,783,913",36790304,WWW.ADVANCEDENERGY.COM,(646) 617-0186,"Located in Tempe, Arizona, Artesyn Embedded Technologies, Inc. is a provider of embedded computing solutions. The company designs and manufactures highly reliable power conversion and embedded computing solutions for various industries, including communications, computing, and industrial sectors."
"E.D.S. MANUFACTURING, INC.",,ARIZONA(USA),Headquarters,"$38,288,177",36799905,WWW.EDSMANUFACTURING.COM,(520) 287-9711,"Based in Nogales, Arizona, E.D.S. Manufacturing, Inc. specializes in producing wire harnesses and cable assemblies. The company serves various industries by providing high-quality manufacturing services tailored to customer specifications."
"PURE WAFER, INC.",,ARIZONA(USA),Headquarters,"$33,149,082",36740000,WWW.PUREWAFER.COM,(928) 771-8900,"Pure Wafer, Inc., located in Prescott, Arizona, is the largest U.S.-based supplier of virgin silicon wafers, wafer reclaim services, and specialty thin film deposition products. The company focuses on providing comprehensive silicon solutions to the global semiconductor manufacturing industry. purewafer.com+3"
"ICA NORTHEAST, INC.",,ARIZONA(USA),Headquarters,"$30,853,669",36799905,WWW.ICAHOLDINGS.COM,(520) 290-9987,"ICA Northeast, Inc., operating in Tucson, Arizona, is a manufacturer of electronic products, including wire harnesses, cables, and electromechanical assemblies. The company caters to various industries by delivering customized manufacturing solutions."
MICROCHIP TECHNOLOGY LLC,,ARIZONA(USA),Headquarters,"$29,963,679",36740200,WWW.MICROCHIP.COM,,"Headquartered in Chandler, Arizona, Microchip Technology LLC is a leading provider of microcontroller, mixed-signal, analog, and Flash-IP solutions. The company offers a comprehensive product portfolio and development tools, enabling designers to create innovative embedded control solutions across various applications."
"VERIGON, LLC",,ARIZONA(USA),Single Location,"$26,013,585",36720000,WWW.VERIGON.COM,(480) 967-8989,"Founded in 1980 and based in Phoenix, Arizona, Verigon, LLC is a contract electronic manufacturer specializing in high-reliability electronic assemblies. The company provides engineering and manufacturing solutions for industries requiring mission-critical electronic and electromechanical assemblies."
TEXAS INSTRUMENTS TUCSON CORPORATION,,ARIZONA(USA),Headquarters,"$24,793,405",36740206,,(855) 226-3113,"Texas Instruments Tucson Corporation operates in Tucson, Arizona, focusing on manufacturing a wide range of semiconductor products, including amplifiers, microcontrollers, and power management devices. The facility supports various applications across different industries."
"SOUTH BAY CIRCUITS, INC.",,ARIZONA(USA),Single Location,"$24,484,681",36720000,WWW.SBCINC.COM,(480) 940-3125,"Established in 1981, South Bay Circuits, Inc. operates in Arizona, providing turnkey electronic manufacturing services, including PCB fabrication, circuit board assembly, and design layout. The company serves various industries by delivering high-quality electronic manufacturing solutions."
"SOUTHWEST MICROWAVE, INC.",,ARIZONA(USA),Headquarters,"$23,080,101",36790105,WWW.SOUTHWESTMICROWAVE.COM,(480) 783-0201,"Located in Tempe, Arizona, Southwest Microwave, Inc. is a global provider of high-performance outdoor perimeter security systems and interconnect solutions. The company offers innovative products for various applications, including security and communication systems."
"EV GROUP, INC.",,ARIZONA(USA),Headquarters,"$23,053,579",36740000,WWW.EVGROUP.COM,(480) 305-2400,"EV Group, Inc., with a facility in Tempe, Arizona, is a leading supplier of equipment and process solutions for the manufacture of semiconductors and microelectromechanical systems (MEMS). The company provides customer support and sales services to clients in the region."
"POLYMICRO TECHNOLOGIES, LLC",,ARIZONA(USA),Headquarters,"$22,544,897",36780000,,(602) 375-4100,"Based in Phoenix, Arizona, Polymicro Technologies, LLC is a supplier of silica capillary tubing and specialty optical fibers. The company serves various industries, including analytical, medical, aerospace, and telecommunications, by providing high-quality optical components."
"APEX MICROTECHNOLOGY, INC.",,ARIZONA(USA),Single Location,"$22,311,409",36740202,WWW.APEXANALOG.COM,(520) 690-8600,"Founded in 1980 and headquartered in Tucson, Arizona, Apex Microtechnology designs and manufactures precision power analog monolithic, hybrid, and open-frame components for various applications, including industrial, medical, aerospace, and defense sectors."
LARK ENGINEERING COMPANY,,ARIZONA(USA),Single Location,"$21,543,521",36720000,WWW.BENCH.COM,(602) 333-3600,"Established in 1979, Lark Engineering Company, also known as Benchmark Lark Technology, is located at 3201 E Harbour Dr, Phoenix, AZ. The company specializes in RF components and circuit miniaturization, operating a 30,000 square foot facility that integrates system design, SMT, microelectronics assembly, and high-density interconnect substrate design."
"CTM MAGNETICS, INC.",,ARIZONA(USA),Single Location,"$20,607,680",36770100,WWW.CTMMAGNETICS.COM,(480) 967-9447,"Founded in 1976, CTM Magnetics is based at 710 W Geneva Dr, Tempe, AZ. The company specializes in engineering harmonic filters and sine wave filters that remove harmonic distortion, providing efficient and reliable power quality solutions for various industries. "
"PHOENIX LOGISTICS, LLC",,ARIZONA(USA),Headquarters,"$20,048,374",36780000,WWW.PHX-DEFENSE.COM,(602) 231-8616,"Established on May 1, 1991, Phoenix Logistics relocated in 2005 to a 19,000 square foot facility in Tempe, Arizona. The facility houses the company's Data Bus, Microwave Cable Assemblies, RF Connector, and Space Program assembly operations, supporting various defense and aerospace applications."
"ENTREPIX, INC",,ARIZONA(USA),Headquarters,"$18,493,422",36740000,WWW.ENTREPIX.COM,(602) 426-8677,"Founded in 1998 and headquartered at 4717 E Hilton Avenue, Phoenix, AZ, Entrepix is a provider of chemical mechanical polishing (CMP) technology. The company offers refurbished equipment, CMP outsourcing services, and operates the world's largest CMP technology portfolio."
MICREL LLC,,ARIZONA(USA),Headquarters,"$17,728,880",36740000,,(480) 792-7200,"Micrel LLC is a semiconductor company known for designing and manufacturing analog, high bandwidth communications, and Ethernet IC solutions. While specific details about its Arizona operations are limited, Micrel's products are utilized in various applications, including enterprise, consumer, and industrial markets."
IML INC,,ARIZONA(USA),Single Location,"$17,000,005",36770100,,(480) 751-6300,"IML Inc is a company that provides electronic manufacturing services, including PCB assembly and testing. Specific information about its foundation date and Arizona location is not readily available."
"HYBRID DESIGN ASSOCIATES, INC.",,ARIZONA(USA),Headquarters,"$16,848,351",36740202,WWW.VERIGON.COM,(480) 967-8989,"Operating since 1980 under the name Hybrid Design Associates, the company is located at 1140 W Warner Rd, Tempe, AZ. It offers full-service contract manufacturing solutions, including engineering and production of hybrid circuits, multichip modules, chip-on-board, and custom packaging solutions for various high-reliability applications."
FILCONN INC,,ARIZONA(USA),Single Location,"$16,732,113",36780000,WWW.FILCONN.COM,(480) 222-3565,"Founded in 2003, FilConn Inc is headquartered at 3324 N San Marcos Pl, Chandler, AZ. The company specializes in the design and manufacture of custom connectors for military, aerospace, and commercial applications, offering a range of filtered, hermetic, and custom connectors."
"FORESIGHT TECHNOLOGIES, INC.",,ARIZONA(USA),Single Location,"$16,213,427",36740000,WWW.FORESIGHTTECH.COM,(480) 967-0080,"Established in 1995, Foresight Technologies operates a facility at 3001 South Priest Drive, Tempe, AZ. The company is a global leader in producing precision build-to-print parts and turnkey chemical system equipment for leading semiconductor equipment OEMs and fabs, with capabilities in plastics, precision machining, and cleanroom assembly."
AMPHENOL OPTIMIZE MANUFACTURING CO.,,ARIZONA(USA),Headquarters,"$16,212,247",36780000,WWW.AMPHENOL-OPTIMIZE.COM,(520) 397-7015,"Operating since 1984, Amphenol Optimize Manufacturing Co. is located at 482 N Mariposa Rd Bldg. A, Nogales, AZ. The company manufactures a range of board-level, fiber-optic, and interconnect products for commercial, industrial, military, and aerospace markets, serving as a subsidiary of Amphenol Corporation."
FST TECHNICAL SERVICES LLC,,ARIZONA(USA),Headquarters,"$15,797,825",36740000,WWW.FSTTECHNICAL.COM,(480) 621-5100,"Founded in 1984, FST Technical Services has a location at 450 E. Warner Road, Suite 1, Chandler, AZ. The company provides commissioning, quality assurance, and quality control services to the semiconductor, microelectronics, and life sciences industries, supporting various high-tech facilities."
"FIRST ELECTRONICS, INC.",,ARIZONA(USA),Single Location,"$15,456,527",36720000,WWW.FIRSTELECTRONICSAZ.COM,(480) 730-1900,"Established in 1985, First Electronics, Inc. operates a 36,000 square foot facility in Chandler, AZ. The company specializes in contract manufacturing, offering assembly of printed circuit boards, cable and wire harnesses, and electromechanical box builds for various industries."
"ICA DE MEXICO, INC.",,ARIZONA(USA),Single Location,"$15,359,841",36799905,WWW.ICAHOLDINGS.COM,(520) 290-9987,"Originally started in 1980 as Atronix, ICA de Mexico became part of the ICA family of companies in 2014. While based in Mexico, the company has been a trusted provider of wire harness and cable assembly manufacturing services to Fortune 500 and multinational OEMs, supporting various end markets. "
SUMCO SOUTHWEST CORPORATION,,ARIZONA(USA),Single Location,"$15,024,552",36749909,WWW.SUMCOUSA.COM,(480) 473-6000,"Incorporated on September 20, 1995, Sumco Southwest Corporation is located at 19801 North Tatum Blvd, Phoenix, AZ. The company is involved in the semiconductor industry, specializing in the manufacturing of high-quality silicon wafers essential for semiconductor production."
